,pathid,start_x,start_y,destination_x,destination_y,angle
0,0001_1981,168.0,6.0,181.0,31.6,0.9906104275819688
1,0002_1981,157.5,4.3,146.5,21.0,0.9933855978817061
2,0003_1981,162.8,5.5,142.0,12.0,0.9987233385535002
3,0004_1981,118.3,17.3,127.9,34.1,0.9933551786233831
4,0005_1981,132.0,12.0,127.1,32.3,0.9875120453955775
5,0006_1981,141.5,12.5,102.4,19.7,0.9948075750942103
6,0007_1981,139.5,8.5,106.5,23.6,0.9876670479315376
7,0008_1981,128.5,18.4,112.0,27.3,0.9953123663649498
8,0009_1981,123.8,24.0,120.5,39.0,0.9926248149063213
9,0010_1981,147.0,25.5,146.0,36.3,0.9974142379895554
10,0011_1981,150.2,21.7,125.0,40.0,0.9862169528552812
11,0012_1981,139.5,16.0,135.0,48.0,0.974251525822329
12,0013_1981,112.0,13.0,104.5,20.0,0.9972966766923864
13,0014_1981,133.0,16.4,155.9,35.5,0.9948832974137635
14,0015_1981,166.0,20.5,155.0,44.0,0.9882079045638666
15,0016_1981,142.0,17.0,169.0,55.0,0.9809541578952177
16,0017_1981,118.5,15.5,105.0,21.0,0.9977340388309829
17,0018_1981,129.8,18.0,141.0,55.0,0.9727185027916965
18,0019_1981,148.0,16.0,174.0,53.0,0.9823837931914298
19,0020_1981,160.5,22.5,182.0,47.0,0.993572446241716
20,0021_1981,144.0,11.0,114.0,24.8,0.990497843546824
21,0022_1981,174.0,24.5,175.0,39.0,0.996850354332219
22,0023_1981,116.5,14.0,115.0,23.5,0.9966419729305098
23,0024_1981,151.0,9.0,154.0,47.0,0.9721209463159513
24,0025_1981,116.0,20.5,110.0,23.5,0.9993680114726603
25,0026_1981,129.0,8.0,100.8,15.3,0.9960687579846395
26,0027_1981,149.0,9.5,154.0,42.0,0.9795507808257915
27,0028_1981,119.0,8.0,108.0,10.5,0.9995562589476041
28,0029_1981,151.8,14.6,109.0,20.8,0.9957087917626928
29,0030_1981,159.0,11.2,136.0,28.0,0.9912054725282431
30,0031_1981,152.6,11.5,131.5,25.2,0.9934952349222709
31,0032_1981,147.7,9.9,125.2,7.0,0.9999386699778848
32,0033_1981,140.0,10.0,113.9,19.6,0.9950931847526686
33,0001_1982,152.0,7.0,109.0,12.0,0.9979762909183411
34,0002_1982,158.0,5.0,112.8,13.2,0.9964018514284799
35,0003_1982,155.6,6.4,154.5,13.0,0.9990826477634918
36,0004_1982,138.5,9.0,156.0,33.0,0.9897108739254136
37,0005_1982,147.3,9.6,143.9,44.2,0.9729943680634062
38,0006_1982,113.8,20.0,118.4,21.8,0.9999670977604106
39,0007_1982,128.0,19.2,155.5,33.0,0.9981869484157873
40,0008_1982,121.9,21.8,147.5,30.0,0.9997194406241902
41,0009_1982,147.8,9.0,106.3,22.3,0.9893657259501764
42,0010_1982,146.5,12.0,114.6,32.6,0.9809665922653625
43,0011_1982,162.0,12.0,151.2,41.7,0.9810157091028548
44,0012_1982,144.5,13.0,136.1,32.9,0.989147451458612
45,0013_1982,153.6,8.2,115.2,25.2,0.9869029768226097
46,0014_1982,153.5,9.5,137.8,52.6,0.9544956647885573
47,0015_1982,127.7,11.9,118.7,19.9,0.99732309857738
48,0016_1982,158.0,13.0,195.2,53.2,0.9831224343765761
49,0017_1982,118.0,17.0,106.2,15.6,0.9999961737682522
50,0018_1982,147.0,12.0,190.7,47.8,0.9865586844954513
51,0019_1982,132.2,13.3,107.4,22.0,0.9948249952987733
52,0020_1982,139.5,16.5,140.3,42.4,0.9845956640966969
53,0021_1982,167.5,23.0,193.7,44.8,0.9958778906222214
