,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_1999021606,1,115,1329,1002,15, ,0
1,0001_1999021612,1,115,1322,1002,15, ,0
2,0001_1999021618,1,115,1320,1002,15, ,0
3,0001_1999021700,1,116,1318,1002,15, ,0
4,0001_1999021706,1,118,1315,1002,15, ,0
5,0001_1999021712,1,122,1310,1002,15, ,0
6,0001_1999021718,1,126,1301,1002,15, ,0
7,0001_1999021800,1,130,1296,1002,15, ,0
8,0001_1999021806,1,132,1290,1004,12, ,0
9,0001_1999021812,1,135,1285,1004,12, ,0
10,0002_1999042118,0,90,1260,1004,10, ,0
11,0002_1999042200,0,100,1260,1004,10, ,0
12,0002_1999042206,1,115,1255,1002,12, ,0
13,0002_1999042212,1,125,1254,1002,12, ,0
14,0002_1999042218,1,136,1258,1002,12, ,0
15,0002_1999042300,1,139,1266,1000,12, ,0
16,0002_1999042306,1,141,1268,1000,12, ,0
17,0002_1999042312,1,142,1272,998,15, ,0
18,0002_1999042318,2,143,1278,998,18, ,0
19,0002_1999042400,2,147,1287,995,20, ,0
20,0002_1999042406,2,150,1292,992,23, ,0
21,0002_1999042412,2,154,1300,990,23, ,0
22,0002_1999042418,2,160,1305,990,23, ,0
23,0002_1999042500,2,165,1308,990,23, ,0
24,0002_1999042506,3,174,1313,985,25, ,0
25,0002_1999042512,3,185,1320,985,25, ,0
26,0002_1999042518,3,192,1323,985,28, ,0
27,0002_1999042600,3,199,1330,980,30, ,0
28,0002_1999042606,3,206,1339,980,30, ,0
29,0002_1999042612,3,211,1348,980,30, ,0
30,0002_1999042618,3,221,1363,985,25, ,0
31,0002_1999042700,3,232,1382,985,25, ,0
32,0002_1999042706,3,240,1401,985,25, ,0
33,0002_1999042712,3,251,1417,985,25, ,0
34,0002_1999042718,3,262,1433,985,25, ,0
35,0002_1999042800,3,271,1449,985,25, ,0
36,0002_1999042806,2,282,1471,990,20, ,0
37,0002_1999042812,2,291,1492,995,18, ,0
38,0002_1999042818,2,301,1518,995,18, ,0
39,0002_1999042900,1,311,1542,998,15, ,0
40,0002_1999042906,1,315,1567,998,15, ,0
41,0002_1999042912,1,327,1594,1000,15, ,0
42,0002_1999042918,1,332,1612,1004,12, ,0
43,0002_1999043000,0,340,1625,1006,10, ,0
44,0002_1999043006,0,350,1639,1008,10, ,0
45,0003_1999042700,1,137,1131,1002,12, ,0
46,0003_1999042706,1,147,1129,1002,12, ,0
47,0003_1999042712,1,154,1126,1002,12, ,0
48,0003_1999042718,1,156,1121,1000,15, ,0
49,0003_1999042800,1,158,1115,998,15, ,0
50,0003_1999042806,1,155,1110,998,15, ,0
51,0003_1999042812,1,154,1113,998,15, ,0
52,0003_1999042818,2,155,1117,995,18, ,0
53,0003_1999042900,2,165,1129,995,20, ,0
54,0003_1999042906,2,171,1135,990,23, ,0
55,0003_1999042912,3,175,1138,985,25, ,0
56,0003_1999042918,3,180,1142,980,30, ,0
57,0003_1999043000,4,183,1145,970,35, ,0
58,0003_1999043006,4,190,1148,970,35, ,0
59,0003_1999043012,4,196,1150,970,35, ,0
60,0003_1999043018,4,200,1154,970,35, ,0
61,0003_1999050100,3,204,1156,975,30, ,0
62,0003_1999050106,3,207,1157,980,30, ,0
63,0003_1999050112,3,210,1153,985,25, ,0
64,0003_1999050118,2,212,1150,985,23, ,0
65,0003_1999050200,2,214,1148,990,20, ,0
66,0003_1999050206,2,219,1147,995,18, ,0
67,0003_1999050212,1,224,1147,1000,15, ,0
68,0003_1999050218,1,228,1150,1002,12, ,0
69,0004_1999060106,1,120,1300,1004,12, ,0
70,0004_1999060112,1,124,1296,1004,12, ,0
71,0004_1999060118,1,128,1298,1002,15, ,0
72,0004_1999060200,1,132,1299,1000,15, ,0
73,0004_1999060206,2,135,1298,995,20, ,0
74,0004_1999060212,2,138,1297,990,23, ,0
75,0004_1999060218,2,142,1296,990,23, ,0
76,0004_1999060300,3,147,1295,985,25, ,0
77,0004_1999060306,3,154,1290,980,28, ,0
78,0004_1999060312,3,159,1285,980,28, ,0
79,0004_1999060318,3,166,1279,980,30, ,0
80,0004_1999060400,4,171,1270,975,33, ,0
81,0004_1999060406,4,173,1264,970,35, ,0
82,0004_1999060412,4,176,1259,965,40, ,0
83,0004_1999060418,4,181,1252,960,40, ,0
84,0004_1999060500,4,189,1245,960,40, ,0
85,0004_1999060506,4,197,1236,960,40, ,0
86,0004_1999060512,4,205,1223,965,40, ,0
87,0004_1999060518,4,210,1210,965,40, ,0
88,0004_1999060600,4,220,1198,970,35, ,0
89,0004_1999060606,4,225,1182,970,35, ,0
90,0004_1999060612,4,229,1165,970,35, ,0
91,0004_1999060618,3,227,1147,980,28, ,0
92,0004_1999060700,3,219,1134,980,25, ,0
93,0004_1999060706,3,213,1126,980,25, ,0
94,0004_1999060712,3,217,1128,980,25, ,0
95,0004_1999060718,2,221,1129,985,20, ,0
96,0004_1999060800,1,233,1121,990,15, ,0
97,0004_1999060806,1,239,1107,996,12, ,0
98,0004_1999060812,0,236,1100,998,10, ,0
99,0004_1999060818,0,233,1092,1000,10, ,0
100,0005_1999060312,1,145,1165,1000,12, ,2
101,0005_1999060318,1,146,1163,1000,12, ,2
102,0005_1999060400,1,147,1160,1000,12, ,2
103,0005_1999060406,1,146,1152,1000,15, ,2
104,0005_1999060412,1,145,1146,1000,15, ,2
105,0005_1999060418,1,142,1142,1000,15, ,2
106,0005_1999060500,1,143,1138,1000,15, ,2
107,0005_1999060506,1,144,1140,995,15, ,2
108,0005_1999060512,1,145,1144,995,15, ,2
109,0005_1999060518,1,148,1152,995,15, ,2
110,0005_1999060600,1,155,1160,995,15, ,2
111,0005_1999060606,1,160,1162,1000,12, ,2
112,0006_1999070912,1,260,1290,1002,12, ,0
113,0006_1999070918,1,266,1288,1002,12, ,0
114,0006_1999071000,1,275,1290,998,15, ,0
115,0006_1999071006,1,275,1290,998,15, ,0
116,0006_1999071012,1,272,1298,998,15, ,0
117,0006_1999071018,1,270,1306,998,15, ,0
118,0006_1999071100,1,268,1315,998,15, ,0
119,0006_1999071106,1,270,1320,998,15, ,0
120,0006_1999071112,1,272,1325,998,15, ,0
121,0006_1999071118,1,276,1329,998,15, ,0
122,0006_1999071200,1,280,1330,998,15, ,0
123,0006_1999071206,1,283,1331,998,15, ,0
124,0006_1999071212,1,285,1332,998,15, ,0
125,0006_1999071218,1,288,1334,998,15, ,0
126,0006_1999071300,1,290,1335,996,15, ,0
127,0006_1999071306,1,292,1341,996,15, ,0
128,0006_1999071312,1,297,1345,998,15, ,0
129,0006_1999071318,1,303,1349,998,15, ,0
130,0006_1999071400,1,308,1352,998,12, ,0
131,0006_1999071406,1,320,1370,998,12, ,0
132,0006_1999071412,1,340,1390,998,12, ,0
133,0007_1999071406,1,228,1548,1006,12, ,0
134,0007_1999071412,1,222,1543,1006,12, ,0
135,0007_1999071418,1,220,1539,1004,12, ,0
136,0007_1999071500,1,220,1531,1004,12, ,0
137,0007_1999071506,1,221,1526,1002,15, ,0
138,0007_1999071512,1,224,1520,1002,15, ,0
139,0007_1999071518,1,227,1514,1002,15, ,0
140,0007_1999071600,1,231,1505,1000,15, ,0
141,0007_1999071606,1,238,1496,1000,15, ,0
142,0007_1999071612,1,250,1483,1000,15, ,0
143,0007_1999071618,1,262,1471,998,15, ,0
144,0007_1999071700,1,268,1460,998,15, ,0
145,0007_1999071706,1,273,1452,998,15, ,0
146,0007_1999071712,1,280,1442,998,15, ,0
147,0007_1999071718,1,289,1433,998,15, ,0
148,0007_1999071800,1,298,1425,1000,15, ,0
149,0007_1999071806,1,306,1424,1000,15, ,0
150,0007_1999071812,1,314,1424,1000,15, ,0
151,0007_1999071818,1,320,1425,1002,12, ,0
152,0007_1999071900,1,325,1425,1002,12, ,0
153,0008_1999072206,0,174,1288,1000,10, ,0
154,0008_1999072212,0,172,1278,1000,10, ,0
155,0008_1999072218,1,170,1267,996,12, ,0
156,0008_1999072300,1,172,1257,996,12, ,0
157,0008_1999072306,1,173,1250,992,15, ,0
158,0008_1999072312,1,174,1246,992,15, ,0
159,0008_1999072318,1,177,1243,992,15, ,0
160,0008_1999072400,1,184,1242,992,15, ,0
161,0008_1999072406,1,195,1245,992,15, ,0
162,0008_1999072412,1,212,1255,992,15, ,0
163,0008_1999072418,1,216,1263,992,15, ,0
164,0008_1999072500,2,221,1271,992,18, ,0
165,0008_1999072506,2,230,1276,990,20, ,0
166,0008_1999072512,2,245,1285,990,20, ,0
167,0008_1999072518,3,264,1293,985,25, ,0
168,0008_1999072600,3,278,1292,985,25, ,0
169,0008_1999072606,3,296,1286,985,25, ,0
170,0008_1999072612,3,310,1283,985,25, ,0
171,0008_1999072618,3,321,1278,985,25, ,0
