,name_datetime,I,LAT,LONG,PRES,WND,OWD,END_TAG
0,0001_2017123018,1,96,1351,1006,13, ,0
1,0001_2017123100,1,96,1341,1006,13, ,0
2,0001_2017123106,1,95,1332,1006,13, ,0
3,0001_2017123112,1,92,1322,1006,13, ,0
4,0001_2017123118,1,89,1310,1006,13, ,0
5,0001_2018010100,1,88,1298,1006,13, ,0
6,0001_2018010106,1,89,1283,1004,15, ,0
7,0001_2018010112,1,94,1265,1004,15, ,0
8,0001_2018010118,1,94,1245,1004,15, ,0
9,0001_2018010200,1,93,1225,1004,15, ,0
10,0001_2018010206,1,93,1208,1004,15, ,0
11,0001_2018010212,1,96,1192,1004,15, ,0
12,0001_2018010218,1,99,1174,1004,15, ,0
13,0001_2018010300,2,104,1160,1000,18, ,0
14,0001_2018010306,2,109,1148,1000,18, ,0
15,0001_2018010312,2,112,1133,1000,18, ,0
16,0001_2018010318,2,116,1122,1000,18, ,0
17,0001_2018010400,1,123,1110,1004,15, ,0
18,0001_2018010406,0,122,1099,1008,10, ,0
19,0002_2018021000,1,84,1435,1008,13, ,0
20,0002_2018021006,1,77,1423,1004,15, ,0
21,0002_2018021012,1,69,1407,1004,15, ,0
22,0002_2018021018,1,67,1391,1004,15, ,0
23,0002_2018021100,1,66,1373,1004,15, ,0
24,0002_2018021106,2,67,1359,1000,18, ,0
25,0002_2018021112,2,70,1345,1000,18, ,0
26,0002_2018021118,2,72,1331,1000,18, ,0
27,0002_2018021200,2,71,1319,1000,18, ,0
28,0002_2018021206,2,70,1307,1000,18, ,0
29,0002_2018021212,2,75,1288,1000,18, ,0
30,0002_2018021218,2,84,1274,1000,18, ,0
31,0002_2018021300,2,90,1263,1000,18, ,0
32,0002_2018021306,2,92,1247,1000,18, ,0
33,0002_2018021312,1,90,1232,1004,15, ,0
34,0002_2018021318,1,88,1220,1008,13, ,0
35,0002_2018021400,1,75,1208,1008,13, ,0
36,0002_2018021406,1,66,1203,1008,13, ,0
37,0002_2018021412,1,67,1201,1008,13, ,0
38,0002_2018021418,1,72,1198,1008,13, ,0
39,0002_2018021500,1,81,1196,1008,13, ,0
40,0002_2018021506,1,87,1192,1008,13, ,0
41,0002_2018021512,0,90,1184,1010,10, ,0
42,0002_2018021518,0,92,1175,1010,10, ,0
43,0002_2018021600,0,96,1161,1010,10, ,0
44,0002_2018021606,0,100,1156,1010,10, ,0
45,0003_2018032412,1,57,1437,1002,13, ,0
46,0003_2018032418,1,58,1426,1002,13, ,0
47,0003_2018032500,1,60,1416,1000,15, ,0
48,0003_2018032506,2,63,1404,998,18, ,0
49,0003_2018032512,2,68,1392,998,18, ,0
50,0003_2018032518,2,72,1384,998,18, ,0
51,0003_2018032600,2,76,1376,998,18, ,0
52,0003_2018032606,2,80,1368,998,18, ,0
53,0003_2018032612,2,86,1360,998,18, ,0
54,0003_2018032618,2,92,1353,998,18, ,0
55,0003_2018032700,2,95,1351,998,18, ,0
56,0003_2018032706,2,98,1351,998,18, ,0
57,0003_2018032712,2,104,1351,998,18, ,0
58,0003_2018032718,2,115,1352,995,20, ,0
59,0003_2018032800,2,125,1352,992,23, ,0
60,0003_2018032806,3,136,1352,990,25, ,0
61,0003_2018032812,3,145,1352,990,25, ,0
62,0003_2018032818,3,152,1353,985,28, ,0
63,0003_2018032900,3,153,1354,980,30, ,0
64,0003_2018032906,4,153,1356,975,33, ,0
65,0003_2018032912,4,154,1361,965,38, ,0
66,0003_2018032918,5,156,1368,955,42, ,0
67,0003_2018033000,6,157,1373,935,52, ,0
68,0003_2018033006,6,162,1381,920,60, ,0
69,0003_2018033012,6,168,1390,920,60, ,0
70,0003_2018033018,6,176,1398,935,52, ,0
71,0003_2018033100,5,182,1408,950,45, ,0
72,0003_2018033106,4,187,1414,965,38, ,0
73,0003_2018033112,3,190,1421,980,30, ,0
74,0003_2018033118,2,191,1432,995,18, ,0
75,0003_2018040100,1,192,1445,998,15, ,0
76,0003_2018040106,1,196,1458,1000,13, ,0
77,0004_2018051100,1,169,1513,1004,13, ,0
78,0004_2018051106,1,170,1506,1004,13, ,0
79,0004_2018051112,1,173,1499,1004,13, ,0
80,0004_2018051118,1,179,1493,1004,13, ,0
81,0004_2018051200,1,186,1489,1002,15, ,0
82,0004_2018051206,1,191,1482,1002,15, ,0
83,0004_2018051212,1,191,1475,1002,15, ,0
84,0004_2018051218,1,193,1470,1002,15, ,0
85,0004_2018051300,1,195,1465,1002,15, ,0
86,0004_2018051306,1,200,1457,1002,15, ,0
87,0004_2018051312,1,203,1450,1002,15, ,0
88,0004_2018051318,1,207,1445,1004,13, ,0
89,0004_2018051400,1,215,1444,1004,13, ,0
90,0004_2018051406,1,224,1443,1004,13, ,0
91,0004_2018051412,1,235,1444,1004,13, ,0
92,0005_2018060212,1,120,1121,1004,13, ,0
93,0005_2018060218,1,129,1119,1004,13, ,0
94,0005_2018060300,1,136,1116,1004,13, ,0
95,0005_2018060306,1,145,1112,1002,15, ,0
96,0005_2018060312,1,152,1109,1002,15, ,0
97,0005_2018060318,1,154,1108,1002,15, ,0
