,ID,province
0,0001_1981,未登录
1,0002_1981,未登录
2,0003_1981,未登录
3,0004_1981,未登录
4,0005_1981,未登录
5,0006_1981,未登录
6,0007_1981,广东
7,0008_1981,福建
8,0009_1981,浙江
9,0010_1981,未登录
10,0011_1981,未登录
11,0012_1981,未登录
12,0013_1981,未登录
13,0014_1981,未登录
14,0015_1981,未登录
15,0016_1981,未登录
16,0017_1981,未登录
17,0018_1981,未登录
18,0019_1981,未登录
19,0020_1981,未登录
20,0021_1981,广东
21,0022_1981,未登录
22,0023_1981,广东
23,0024_1981,未登录
24,0025_1981,广东
25,0026_1981,未登录
26,0027_1981,未登录
27,0028_1981,未登录
28,0029_1981,广东
29,0030_1981,未登录
30,0031_1981,未登录
31,0032_1981,未登录
32,0033_1981,未登录
33,0001_1982,未登录
34,0002_1982,未登录
35,0003_1982,未登录
36,0004_1982,未登录
37,0005_1982,未登录
38,0006_1982,未登录
39,0007_1982,未登录
40,0008_1982,未登录
41,0009_1982,广东
42,0010_1982,福建
43,0011_1982,未登录
44,0012_1982,未登录
45,0013_1982,福建
46,0014_1982,未登录
47,0015_1982,未登录
48,0016_1982,未登录
49,0017_1982,未登录
50,0018_1982,未登录
51,0019_1982,广东
52,0020_1982,未登录
53,0021_1982,未登录
54,0022_1982,未登录
55,0023_1982,未登录
56,0024_1982,未登录
57,0025_1982,未登录
58,0026_1982,未登录
59,0027_1982,未登录
60,0028_1982,未登录
61,0029_1982,未登录
62,0001_1983,未登录
63,0002_1983,广东
64,0003_1983,未登录
65,0004_1983,福建
66,0005_1983,未登录
67,0006_1983,未登录
68,0007_1983,未登录
69,0008_1983,未登录
70,0009_1983,广东
71,0010_1983,未登录
72,0011_1983,未登录
73,0012_1983,未登录
74,0013_1983,未登录
75,0014_1983,未登录
76,0015_1983,广东
77,0016_1983,未登录
78,0017_1983,未登录
79,0018_1983,未登录
80,0019_1983,未登录
81,0020_1983,未登录
82,0021_1983,未登录
83,0022_1983,未登录
84,0023_1983,未登录
85,0024_1983,未登录
86,0025_1983,未登录
87,0026_1983,未登录
88,0027_1983,未登录
89,0001_1984,未登录
90,0002_1984,广东
91,0003_1984,浙江
92,0004_1984,广东
93,0005_1984,未登录
94,0006_1984,未登录
95,0007_1984,未登录
96,0008_1984,福建
97,0009_1984,未登录
98,0010_1984,未登录
99,0011_1984,未登录
100,0012_1984,广东
101,0013_1984,未登录
102,0014_1984,未登录
103,0015_1984,广东
104,0016_1984,广东
105,0017_1984,未登录
106,0018_1984,未登录
107,0019_1984,未登录
108,0020_1984,未登录
109,0021_1984,未登录
110,0022_1984,未登录
111,0023_1984,未登录
112,0024_1984,未登录
113,0025_1984,未登录
114,0026_1984,未登录
115,0027_1984,未登录
116,0028_1984,未登录
117,0029_1984,未登录
118,0030_1984,未登录
119,0031_1984,未登录
120,0032_1984,未登录
121,0033_1984,未登录
122,0001_1985,未登录
123,0002_1985,未登录
124,0003_1985,未登录
125,0004_1985,未登录
126,0005_1985,未登录
127,0006_1985,未登录
128,0007_1985,广东
129,0008_1985,未登录
130,0009_1985,未登录
131,0010_1985,广东
132,0011_1985,浙江
133,0012_1985,未登录
134,0013_1985,广东
135,0014_1985,未登录
136,0015_1985,上海
137,0016_1985,福建
138,0017_1985,广东
139,0018_1985,未登录
140,0019_1985,未登录
141,0020_1985,未登录
142,0021_1985,未登录
143,0022_1985,广东
144,0023_1985,未登录
145,0024_1985,未登录
146,0025_1985,广东
147,0026_1985,未登录
148,0027_1985,未登录
149,0028_1985,未登录
150,0029_1985,未登录
151,0030_1985,未登录
152,0031_1985,未登录
153,0032_1985,未登录
154,0033_1985,未登录
155,0034_1985,未登录
156,0035_1985,未登录
157,0001_1986,未登录
158,0002_1986,未登录
159,0003_1986,未登录
160,0004_1986,未登录
161,0005_1986,未登录
162,0006_1986,未登录
163,0007_1986,广东
164,0008_1986,未登录
165,0009_1986,广东
166,0010_1986,未登录
167,0011_1986,广东
168,0012_1986,未登录
169,0013_1986,未登录
170,0014_1986,未登录
171,0015_1986,未登录
172,0016_1986,未登录
173,0017_1986,未登录
174,0018_1986,广东
175,0019_1986,未登录
176,0020_1986,未登录
177,0021_1986,未登录
178,0022_1986,未登录
179,0023_1986,未登录
180,0024_1986,广东
181,0025_1986,未登录
182,0026_1986,未登录
183,0027_1986,未登录
184,0028_1986,未登录
185,0029_1986,未登录
186,0030_1986,未登录
187,0031_1986,未登录
188,0032_1986,未登录
189,0033_1986,未登录
190,0034_1986,未登录
191,0034_1987,未登录
192,0001_1987,未登录
193,0002_1987,未登录
194,0003_1987,广东
195,0004_1987,未登录
196,0005_1987,未登录
197,0006_1987,未登录
198,0007_1987,未登录
199,0008_1987,未登录
200,0009_1987,浙江
201,0010_1987,未登录
202,0011_1987,未登录
203,0012_1987,未登录
204,0013_1987,未登录
205,0014_1987,未登录
206,0015_1987,福建
207,0016_1987,未登录
208,0017_1987,未登录
209,0018_1987,未登录
210,0019_1987,未登录
211,0020_1987,未登录
212,0021_1987,未登录
213,0022_1987,未登录
214,0023_1987,广东
215,0024_1987,未登录
216,0025_1987,未登录
217,0026_1987,未登录
218,0027_1987,未登录
219,0001_1988,未登录
220,0002_1988,未登录
221,0003_1988,未登录
222,0004_1988,未登录
223,0005_1988,广东
224,0006_1988,未登录
225,0007_1988,广东
226,0008_1988,未登录
227,0009_1988,未登录
228,0010_1988,未登录
229,0011_1988,浙江
230,0012_1988,未登录
231,0013_1988,未登录
232,0014_1988,未登录
233,0015_1988,未登录
234,0016_1988,未登录
235,0017_1988,未登录
236,0018_1988,未登录
237,0019_1988,未登录
238,0020_1988,未登录
239,0021_1988,未登录
240,0022_1988,未登录
241,0023_1988,广东
242,0024_1988,广东
243,0025_1988,未登录
244,0026_1988,未登录
245,0027_1988,未登录
246,0028_1988,未登录
247,0029_1988,未登录
248,0030_1988,未登录
249,0031_1988,未登录
250,0032_1988,未登录
251,0033_1988,未登录
252,0034_1988,未登录
253,0035_1988,未登录
254,0001_1989,未登录
255,0002_1989,未登录
256,0003_1989,未登录
257,0004_1989,广东
258,0005_1989,未登录
259,0006_1989,未登录
260,0007_1989,未登录
261,0008_1989,未登录
262,0009_1989,未登录
263,0010_1989,广东
264,0011_1989,浙江
265,0012_1989,未登录
266,0013_1989,未登录
267,0014_1989,上海
268,0015_1989,未登录
269,0016_1989,未登录
270,0017_1989,广东
271,0018_1989,未登录
272,0019_1989,未登录
273,0020_1989,未登录
274,0021_1989,福建
275,0022_1989,未登录
276,0023_1989,未登录
277,0024_1989,未登录
278,0025_1989,未登录
279,0026_1989,福建
280,0027_1989,未登录
281,0028_1989,浙江
282,0029_1989,未登录
283,0030_1989,未登录
284,0031_1989,未登录
285,0032_1989,未登录
286,0033_1989,未登录
287,0034_1989,未登录
288,0035_1989,未登录
289,0036_1989,未登录
290,0037_1989,未登录
291,0038_1989,未登录
292,0039_1989,未登录
293,0001_1990,未登录
294,0002_1990,未登录
295,0003_1990,未登录
296,0004_1990,未登录
297,0005_1990,未登录
298,0006_1990,广东
299,0007_1990,未登录
300,0008_1990,福建
301,0009_1990,福建
302,0010_1990,未登录
303,0011_1990,未登录
304,0012_1990,未登录
305,0013_1990,未登录
306,0014_1990,未登录
307,0015_1990,广东
308,0016_1990,未登录
309,0017_1990,未登录
310,0018_1990,福建
311,0019_1990,未登录
312,0020_1990,未登录
313,0021_1990,未登录
314,0022_1990,浙江
315,0023_1990,福建
316,0024_1990,福建
317,0025_1990,未登录
318,0026_1990,未登录
319,0027_1990,未登录
320,0028_1990,未登录
321,0029_1990,未登录
322,0030_1990,未登录
323,0031_1990,未登录
324,0032_1990,未登录
325,0033_1990,未登录
326,0034_1990,未登录
327,0035_1990,未登录
328,0036_1990,未登录
329,0037_1990,未登录
330,0001_1991,未登录
331,0002_1991,未登录
332,0003_1991,未登录
333,0004_1991,未登录
