,ID,denglu
0,0001_1981,0
1,0002_1981,0
2,0003_1981,0
3,0004_1981,0
4,0005_1981,0
5,0006_1981,0
6,0007_1981,1
7,0008_1981,1
8,0009_1981,1
9,0010_1981,0
10,0011_1981,0
11,0012_1981,0
12,0013_1981,0
13,0014_1981,0
14,0015_1981,0
15,0016_1981,0
16,0017_1981,0
17,0018_1981,0
18,0019_1981,0
19,0020_1981,0
20,0021_1981,1
21,0022_1981,0
22,0023_1981,1
23,0024_1981,0
24,0025_1981,1
25,0026_1981,0
26,0027_1981,0
27,0028_1981,0
28,0029_1981,1
29,0030_1981,0
30,0031_1981,0
31,0032_1981,0
32,0033_1981,0
33,0001_1982,0
34,0002_1982,0
35,0003_1982,0
36,0004_1982,0
37,0005_1982,0
38,0006_1982,0
39,0007_1982,0
40,0008_1982,0
41,0009_1982,1
42,0010_1982,1
43,0011_1982,0
44,0012_1982,0
45,0013_1982,1
46,0014_1982,0
47,0015_1982,0
48,0016_1982,0
49,0017_1982,0
50,0018_1982,0
51,0019_1982,1
52,0020_1982,0
53,0021_1982,0
54,0022_1982,0
55,0023_1982,0
56,0024_1982,0
57,0025_1982,0
58,0026_1982,0
59,0027_1982,0
60,0028_1982,0
61,0029_1982,0
62,0001_1983,0
63,0002_1983,1
64,0003_1983,0
65,0004_1983,1
66,0005_1983,0
67,0006_1983,0
68,0007_1983,0
69,0008_1983,0
70,0009_1983,1
71,0010_1983,0
72,0011_1983,0
73,0012_1983,0
74,0013_1983,0
75,0014_1983,0
76,0015_1983,1
77,0016_1983,0
78,0017_1983,0
79,0018_1983,0
80,0019_1983,0
81,0020_1983,0
82,0021_1983,0
83,0022_1983,0
84,0023_1983,0
85,0024_1983,0
86,0025_1983,0
87,0026_1983,0
88,0027_1983,0
89,0001_1984,0
90,0002_1984,1
91,0003_1984,1
92,0004_1984,1
93,0005_1984,0
94,0006_1984,0
95,0007_1984,0
96,0008_1984,1
97,0009_1984,0
98,0010_1984,0
99,0011_1984,0
100,0012_1984,1
101,0013_1984,0
102,0014_1984,0
103,0015_1984,1
104,0016_1984,1
105,0017_1984,0
106,0018_1984,0
107,0019_1984,0
108,0020_1984,0
109,0021_1984,0
110,0022_1984,0
111,0023_1984,0
112,0024_1984,0
113,0025_1984,0
114,0026_1984,0
115,0027_1984,0
116,0028_1984,0
117,0029_1984,0
118,0030_1984,0
119,0031_1984,0
120,0032_1984,0
121,0033_1984,0
122,0001_1985,0
123,0002_1985,0
124,0003_1985,0
125,0004_1985,0
126,0005_1985,0
127,0006_1985,0
128,0007_1985,1
129,0008_1985,0
130,0009_1985,0
131,0010_1985,1
132,0011_1985,1
133,0012_1985,0
134,0013_1985,1
135,0014_1985,0
136,0015_1985,1
137,0016_1985,1
138,0017_1985,1
139,0018_1985,0
140,0019_1985,0
141,0020_1985,0
142,0021_1985,0
143,0022_1985,1
144,0023_1985,0
145,0024_1985,0
146,0025_1985,1
147,0026_1985,0
148,0027_1985,0
149,0028_1985,0
150,0029_1985,0
151,0030_1985,0
152,0031_1985,0
153,0032_1985,0
154,0033_1985,0
155,0034_1985,0
156,0035_1985,0
157,0001_1986,0
158,0002_1986,0
159,0003_1986,0
160,0004_1986,0
161,0005_1986,0
162,0006_1986,0
163,0007_1986,1
164,0008_1986,0
165,0009_1986,1
166,0010_1986,0
167,0011_1986,1
168,0012_1986,0
169,0013_1986,0
170,0014_1986,0
171,0015_1986,0
172,0016_1986,0
173,0017_1986,0
174,0018_1986,1
175,0019_1986,0
176,0020_1986,0
177,0021_1986,0
178,0022_1986,0
179,0023_1986,0
180,0024_1986,1
181,0025_1986,0
182,0026_1986,0
183,0027_1986,0
184,0028_1986,0
185,0029_1986,0
186,0030_1986,0
187,0031_1986,0
188,0032_1986,0
189,0033_1986,0
190,0034_1986,0
191,0034_1987,0
192,0001_1987,0
193,0002_1987,0
194,0003_1987,1
195,0004_1987,0
196,0005_1987,0
197,0006_1987,0
198,0007_1987,0
199,0008_1987,0
200,0009_1987,1
201,0010_1987,0
202,0011_1987,0
203,0012_1987,0
204,0013_1987,0
205,0014_1987,0
206,0015_1987,1
207,0016_1987,0
208,0017_1987,0
209,0018_1987,0
210,0019_1987,0
211,0020_1987,0
212,0021_1987,0
213,0022_1987,0
214,0023_1987,1
215,0024_1987,0
216,0025_1987,0
217,0026_1987,0
218,0027_1987,0
219,0001_1988,0
220,0002_1988,0
221,0003_1988,0
222,0004_1988,0
223,0005_1988,1
224,0006_1988,0
225,0007_1988,1
226,0008_1988,0
227,0009_1988,0
228,0010_1988,0
229,0011_1988,1
230,0012_1988,0
231,0013_1988,0
232,0014_1988,0
233,0015_1988,0
234,0016_1988,0
235,0017_1988,0
236,0018_1988,0
237,0019_1988,0
238,0020_1988,0
239,0021_1988,0
240,0022_1988,0
241,0023_1988,1
242,0024_1988,1
243,0025_1988,0
244,0026_1988,0
245,0027_1988,0
246,0028_1988,0
247,0029_1988,0
248,0030_1988,0
249,0031_1988,0
250,0032_1988,0
251,0033_1988,0
252,0034_1988,0
253,0035_1988,0
254,0001_1989,0
255,0002_1989,0
256,0003_1989,0
257,0004_1989,1
258,0005_1989,0
259,0006_1989,0
260,0007_1989,0
261,0008_1989,0
262,0009_1989,0
263,0010_1989,1
264,0011_1989,1
265,0012_1989,0
266,0013_1989,0
267,0014_1989,1
268,0015_1989,0
269,0016_1989,0
270,0017_1989,1
271,0018_1989,0
272,0019_1989,0
273,0020_1989,0
274,0021_1989,1
275,0022_1989,0
276,0023_1989,0
277,0024_1989,0
278,0025_1989,0
279,0026_1989,1
280,0027_1989,0
281,0028_1989,1
282,0029_1989,0
283,0030_1989,0
284,0031_1989,0
285,0032_1989,0
286,0033_1989,0
287,0034_1989,0
288,0035_1989,0
289,0036_1989,0
290,0037_1989,0
291,0038_1989,0
292,0039_1989,0
293,0001_1990,0
294,0002_1990,0
295,0003_1990,0
296,0004_1990,0
297,0005_1990,0
298,0006_1990,1
299,0007_1990,0
300,0008_1990,1
301,0009_1990,1
302,0010_1990,0
303,0011_1990,0
304,0012_1990,0
305,0013_1990,0
306,0014_1990,0
307,0015_1990,1
308,0016_1990,0
309,0017_1990,0
310,0018_1990,1
311,0019_1990,0
312,0020_1990,0
313,0021_1990,0
314,0022_1990,1
315,0023_1990,1
316,0024_1990,1
317,0025_1990,0
318,0026_1990,0
319,0027_1990,0
320,0028_1990,0
321,0029_1990,0
322,0030_1990,0
323,0031_1990,0
324,0032_1990,0
325,0033_1990,0
326,0034_1990,0
327,0035_1990,0
328,0036_1990,0
329,0037_1990,0
330,0001_1991,0
331,0002_1991,0
332,0003_1991,0
333,0004_1991,0
334,0005_1991,0
335,0006_1991,0
336,0007_1991,0
337,0008_1991,1
338,0009_1991,1
339,0010_1991,0
340,0011_1991,0
341,0012_1991,0
342,0013_1991,1
343,0014_1991,0
344,0015_1991,0
345,0016_1991,0
346,0017_1991,0
347,0018_1991,1
348,0019_1991,0
349,0020_1991,0
350,0021_1991,0
351,0022_1991,1
352,0023_1991,0
353,0024_1991,0
354,0025_1991,0
355,0026_1991,0
356,0027_1991,0
357,0028_1991,0
358,0029_1991,0
359,0030_1991,0
360,0031_1991,0
361,0001_1992,0
362,0002_1992,0
363,0003_1992,0
364,0004_1992,0
365,0005_1992,0
366,0006_1992,0
367,0007_1992,1
368,0008_1992,1
369,0009_1992,0
370,0010_1992,0
371,0011_1992,0
372,0012_1992,0
373,0013_1992,0
374,0014_1992,1
375,0015_1992,0
376,0016_1992,1
377,0017_1992,1
378,0018_1992,0
379,0019_1992,0
380,0020_1992,1
381,0021_1992,0
382,0022_1992,0
383,0023_1992,0
384,0024_1992,0
385,0025_1992,0
386,0026_1992,0
387,0027_1992,0
388,0028_1992,0
389,0029_1992,0
390,0030_1992,0
391,0031_1992,0
392,0032_1992,0
393,0033_1992,0
394,0001_1993,0
395,0002_1993,0
396,0003_1993,1
397,0004_1993,0
398,0005_1993,0
399,0006_1993,0
400,0007_1993,0
401,0008_1993,0
402,0009_1993,0
403,0010_1993,0
404,0011_1993,0
405,0012_1993,1
406,0013_1993,0
407,0014_1993,0
408,0015_1993,0
409,0016_1993,0
410,0017_1993,0
411,0018_1993,1
412,0019_1993,1
413,0020_1993,1
414,0021_1993,0
415,0022_1993,0
416,0023_1993,0
417,0024_1993,0
418,0025_1993,1
419,0026_1993,0
420,0027_1993,1
421,0028_1993,0
422,0029_1993,0
423,0030_1993,0
424,0031_1993,0
425,0032_1993,0
426,0001_1994,0
427,0002_1994,0
428,0003_1994,1
429,0004_1994,1
430,0005_1994,1
431,0006_1994,1
432,0007_1994,0
433,0008_1994,0
434,0009_1994,0
435,0010_1994,0
436,0011_1994,1
437,0012_1994,0
438,0013_1994,1
439,0014_1994,0
440,0015_1994,1
441,0016_1994,1
442,0017_1994,0
443,0018_1994,0
444,0019_1994,1
445,0020_1994,1
446,0021_1994,1
447,0022_1994,0
448,0023_1994,0
449,0024_1994,0
450,0025_1994,0
451,0026_1994,0
452,0027_1994,0
453,0028_1994,0
454,0029_1994,0
455,0030_1994,0
456,0031_1994,0
457,0032_1994,0
458,0033_1994,0
459,0034_1994,0
460,0035_1994,0
461,0036_1994,0
462,0037_1994,0
463,0038_1994,0
464,0039_1994,0
465,0001_1995,0
466,0002_1995,0
467,0003_1995,0
468,0004_1995,1
469,0005_1995,1
470,0006_1995,1
471,0007_1995,1
472,0008_1995,0
473,0009_1995,1
